Model,Model Type,Metric,Sample,Noise,Experiment,Dimension,Separability,Dependence,K,L,Avg Value,Std Value
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-ind,2,high,ind,2,1,62110.3459047,227.7764017957129
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-strong,2,high,strong,2,1,62882.4069804,244.6805512356882
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-weak,2,high,weak,2,1,62588.0267479,224.391383823779
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-ind,2,low,ind,2,1,54969.2363112,240.4197712168805
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-strong,2,low,strong,2,1,54284.0996812,265.7767296171074
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-weak,2,low,weak,2,1,54885.3809942,235.7321884281418
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-ind,3,high,ind,2,1,89964.1064735,245.192322115301
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-strong,3,high,strong,2,1,91216.4887015,304.7971105985087
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-weak,3,high,weak,2,1,90571.8403592,242.2276225637631
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-ind,3,low,ind,2,1,81420.7452683,255.2743348381319
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-strong,3,low,strong,2,1,80406.2484609,340.5407138532012
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-weak,3,low,weak,2,1,81301.8857404,260.8842376204247
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-ind,2,high,ind,2,1,62659.1981023,226.9526898572286
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-strong,2,high,strong,2,1,63404.5138505,252.5518243495697
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-weak,2,high,weak,2,1,63123.1653884,228.3383193411219
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-ind,2,low,ind,2,1,55466.084364,239.6508970863544
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-strong,2,low,strong,2,1,54824.9335709,273.4622606425058
