split_seed,candidate_id,display_name,candidate_model_type,candidate_family,K,L,selection_metric,n_em_starts,model_type,model_family,em_start,em_seed,success,train_bic,train_aic,heldout_bic,heldout_aic,train_log_likelihood,heldout_log_likelihood,train_avg_log_likelihood,heldout_avg_log_likelihood,train_gmpd,heldout_gmpd,n_free_params,n_iter,converged,fit_time,n_train,n_test
0,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,911214221,True,1183887.6688978213,1183540.5737947777,296224.68900323124,295926.1132682101,-591735.2868973889,-147928.05663410504,-3.9503797726005985,-3.9501203405726466,0.019247390755570314,0.019252384792965427,35,33,True,9.076698374999978,149792,37449
0,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,403708358,True,1145948.747714331,1145244.6405053,287475.3978124911,286869.71560716245,-572551.32025265,-143363.85780358122,-3.822309070261763,-3.8282426180560556,0.02187722647372713,0.021747801259907152,71,33,True,16.96893912499945,149792,37449
0,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,40921045,True,1166417.4544142017,1165891.8532581644,292307.0087315124,291854.8797613375,-582892.9266290822,-145874.43988066874,-3.891348847929677,-3.895282647885624,0.020417786965939853,0.020337625249923896,53,27,True,9.088112833000196,149792,37449
0,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,1956696334,True,1141638.6470362318,1140577.5277212132,286698.39154176484,285785.60286612867,-570181.7638606066,-142785.80143306433,-3.8064900919982816,-3.8128067887811246,0.02222605361407529,0.022086100857629444,107,69,True,27.985684958999627,149792,37449
0,gauss_vmf_tl_3x2,"Gaussian/vMF two-layer, (K,L)=(3,2)",two_layer_mixture,gaussian_vmf,3,2.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,329594251,True,1169554.100053301,1169117.7519237606,292745.23166063166,292369.8793080336,-584514.8759618803,-146140.9396540168,-3.902176858322743,-3.9023989867290663,0.020197895597919298,0.020193409569814632,44,46,True,20.307802916999208,149792,37449
0,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,2097494255,True,1130341.9994168752,1129102.3740488626,283939.54110072047,282873.1991899306,-564426.1870244313,-141311.5995949653,-3.768066298763828,-3.7734412025679,0.023096682216436418,0.022972872801245006,125,53,True,58.88002908400085,149792,37449
0,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,201370308,True,1141109.7121795819,1140465.1069882154,286028.811501981,285474.31370837026,-570167.5534941077,-142672.15685418513,-3.806395224672263,-3.809772139554731,0.022228162240367888,0.022153226225970997,65,24,True,11.833641208002518,149792,37449
0,vmf_gauss_tl_6x4,"vMF/Gaussian two-layer, (K,L)=(6,4)",two_layer_mixture,vmf_gaussian,6,4.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,178652633,True,1120639.5209703888,1118150.3532314198,282643.033809023,280501.8192521569,-558824.1766157099,-139999.90962607844,-3.730667703320003,-3.738415167990559,0.023976821087710237,0.023791779241569923,251,49,True,56.163624749999144,149792,37449
1,ind_cyl_k3,"Independent cylindrical mixture, K=3",cylindrical_mixture,independent,3,,train_bic,1,cylindrical_mixture,independent,0,636175551,True,1183616.8987525003,1183269.8036494567,297309.0141183276,297010.43838330643,-591599.9018247284,-148470.21919165322,-3.9494759521518397,-3.9645976979800053,0.019264794804803476,0.01897566902703943,35,33,True,9.132524959000875,149792,37449
1,ind_cyl_k6,"Independent cylindrical mixture, K=6",cylindrical_mixture,independent,6,,train_bic,1,cylindrical_mixture,independent,0,644904000,True,1145963.1822423858,1145259.0750333548,288341.507107599,287735.82490227034,-572558.5375166774,-143796.91245113517,-3.8223572521675218,-3.8398064688278772,0.021876172412656446,0.021497761429491394,71,39,True,16.974941417000082,149792,37449
1,full_cyl_k3,"Full cylindrical mixture, K=3",cylindrical_mixture,full,3,,train_bic,1,cylindrical_mixture,full,0,1867746099,True,1166474.1276119389,1165948.5264559016,292946.75825826696,292494.629288092,-582921.2632279508,-146194.314644046,-3.891538020908665,-3.9038242581656655,0.02041392483767183,0.020164648980639036,53,26,True,8.722283834002155,149792,37449
1,full_cyl_k6,"Full cylindrical mixture, K=6",cylindrical_mixture,full,6,,train_bic,1,cylindrical_mixture,full,0,264210884,True,1141540.3141304648,1140479.1948154462,287117.1997609341,286204.41108529794,-570132.5974077231,-142995.20554264897,-3.8061618604980443,-3.8183985031015237,0.022233350102400542,0.021962946334529245,107,83,True,32.435002459002135,149792,37449
1,gauss_vmf_tl_3x2,"Gaussian/vMF two-layer, (K,L)=(3,2)",two_layer_mixture,gaussian_vmf,3,2.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,785170547,True,1169347.2065854543,1168910.8584559138,293877.46253732214,293502.1101847241,-584411.4292279569,-146707.05509236205,-3.9014862557944143,-3.9175159574985194,0.020211849133304975,0.01989044213212076,44,63,True,26.898696374999417,149792,37449
1,gauss_vmf_tl_6x4,"Gaussian/vMF two-layer, (K,L)=(6,4)",two_layer_mixture,gaussian_vmf,6,4.0,train_bic,1,two_layer_mixture,gaussian_vmf,0,1834454752,True,1130381.2444388552,1129141.6190708426,285036.5972145004,283970.2553037105,-564445.8095354213,-141860.12765185526,-3.7681972971548636,-3.788088537794207,0.023093656786395366,0.022638833795027857,125,54,True,68.98758854100015,149792,37449
1,vmf_gauss_tl_3x2,"vMF/Gaussian two-layer, (K,L)=(3,2)",two_layer_mixture,vmf_gaussian,3,2.0,train_bic,1,two_layer_mixture,vmf_gaussian,0,642511761,True,1141124.4881738669,1140479.8829825004,287404.57999628724,286850.0822026765,-570174.9414912502,-143360.04110133825,-3.8064445463793137,-3.828140700722002,0.022227065936497606,0.021750017850785685,65,24,True,11.846417540997209,149792,37449
