Model,Model Type,Metric,Sample,Noise,Experiment,Dimension,Separability,Dependence,K,L,Avg Value,Std Value
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-ind,2,high,ind,2,1,64721.6384378,211.779198079404
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-strong,2,high,strong,2,1,71262.6361013,204.20181229797876
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-weak,2,high,weak,2,1,65735.3871109,210.30812863280744
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-ind,2,low,ind,2,1,54238.6821789,242.28886050423318
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-strong,2,low,strong,2,1,57295.3036075,230.96749066725974
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-weak,2,low,weak,2,1,54628.1891929,238.99821194993166
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-ind,3,high,ind,2,1,92618.49660669999,267.6906715686622
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-strong,3,high,strong,2,1,101303.3434832,253.5165952921708
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-weak,3,high,weak,2,1,94047.055582,269.1140459917284
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-ind,3,low,ind,2,1,80151.0703512,310.05749354458504
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-strong,3,low,strong,2,1,84048.4492659,294.443447828694
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-weak,3,low,weak,2,1,80637.7849666,309.9134316004019
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-ind,2,high,ind,2,1,65178.034886,223.81848924461366
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-strong,2,high,strong,2,1,71727.5379629,210.26081226728127
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-weak,2,high,weak,2,1,66194.1456089,220.858856562374
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-ind,2,low,ind,2,1,54679.9137938,251.1347099337404
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-strong,2,low,strong,2,1,57733.4900091,238.15410246855478
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-weak,2,low,weak,2,1,55069.34485070001,247.81084581872338
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-ind,3,high,ind,2,1,93416.7653744,281.88110856286124
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-strong,3,high,strong,2,1,102087.9976593,263.2500880335704
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-weak,3,high,weak,2,1,94845.0715169,285.3261114656787
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-ind,3,low,ind,2,1,80872.7168154,325.839365068898
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-strong,3,low,strong,2,1,84747.1375028,312.8007093195487
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-low-weak,3,low,weak,2,1,81357.8471873,327.04470751869314
"(2,1)-Isolated Two-layer MoM",isomom,aic,out of sample,no noise,2d-high-ind,2,high,ind,2,1,16211.324153,115.476160929854
