Model,Model Type,Metric,Sample,Noise,Experiment,Dimension,Separability,Dependence,K,L,Avg Value,Std Value
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-ind,2,high,ind,2,1,62110.3459047,227.77640179571287
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-strong,2,high,strong,2,1,62882.4069804,244.68055123568817
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-high-weak,2,high,weak,2,1,62588.026747899996,224.39138382377897
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-ind,2,low,ind,2,1,54969.2363112,240.41977121688052
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-strong,2,low,strong,2,1,54284.0996812,265.77672961710743
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,2d-low-weak,2,low,weak,2,1,54885.3809942,235.73218842814177
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-ind,3,high,ind,2,1,89964.1064735,245.19232211530095
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-strong,3,high,strong,2,1,91216.4887015,304.79711059850865
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-high-weak,3,high,weak,2,1,90571.8403592,242.2276225637631
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-ind,3,low,ind,2,1,81420.7452683,255.2743348381319
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-strong,3,low,strong,2,1,80406.2484609,340.5407138532012
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,no noise,3d-low-weak,3,low,weak,2,1,81301.8857404,260.8842376204247
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-ind,2,high,ind,2,1,62659.1981023,226.95268985722856
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-strong,2,high,strong,2,1,63404.5138505,252.5518243495697
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-high-weak,2,high,weak,2,1,63123.1653884,228.33831934112186
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-ind,2,low,ind,2,1,55466.084364,239.6508970863544
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-strong,2,low,strong,2,1,54824.9335709,273.46226064250584
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,2d-low-weak,2,low,weak,2,1,55393.7923373,238.56537749394832
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-ind,3,high,ind,2,1,90964.2101189,250.47190906290166
"(2,1)-Isolated Two-layer MoM",isomom,aic,in sample,with noise,3d-high-strong,3,high,strong,2,1,92171.0513193,311.4906622581903
